Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
19/06/2023,Venstre-Højre:Med uret,10,"6,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,11,6,,,,,,
19/06/2023,Venstre-Højre:Med uret,12,8,,,,,,
19/06/2023,Venstre-Højre:Med uret,13,5,,,,,,
19/06/2023,Venstre-Højre:Med uret,14,"6,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,15,8,,,,,,
19/06/2023,Venstre-Højre:Med uret,16,6,,,,,,
19/06/2023,Venstre-Højre:Med uret,17,7,,,,,,
19/06/2023,Venstre-Højre:Med uret,18,"5,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,19,6,,,,,,
19/06/2023,Venstre-Højre:Med uret,20,"0,5",,,,,,
20/06/2023,,1,12,,,,,Yes,
20/06/2023,,2,11,,,,,Yes,
20/06/2023,,3,13,,,,,Yes,
20/06/2023,,4,17,,,,,Yes,
20/06/2023,,5,14,,,,,Yes,
20/06/2023,,6,17,,,,,Yes,
20/06/2023,,7,15,,,,,Yes,
20/06/2023,,8,12,,,,,Yes,
20/06/2023,,9,11,,,,,Yes,
20/06/2023,,10,14,,,,,Yes,
20/06/2023,,11,12,,,,,Yes,
20/06/2023,,12,15,,,,,Yes,
20/06/2023,,13,15,,,,,Yes,
20/06/2023,,14,12,,,,,Yes,
20/06/2023,,15,17,,,,,Yes,
20/06/2023,,16,12,,,,,Yes,
20/06/2023,,17,13,,,,,Yes,
20/06/2023,,18,12,,,,,Yes,
20/06/2023,,19,11,,,,,Yes,
20/06/2023,,20,1,,,,,Yes,
21/06/2023,,1,15,,,,,,
21/06/2023,,2,12,,,,,,
21/06/2023,,3,12,,,,,,
21/06/2023,,4,21,,,,,,
21/06/2023,,5,18,,,,,,
21/06/2023,,6,12,,,,,,
21/06/2023,,7,21,,,,,,
21/06/2023,,8,17,,,,,,
21/06/2023,,9,15,,,,,,
21/06/2023,,10,18,,,,,,
21/06/2023,,11,12,,,,,,
21/06/2023,,12,17,,,,,,
21/06/2023,,13,14,,,,,,
21/06/2023,,14,16,,,,,,
21/06/2023,,15,16,,,,,,
21/06/2023,,16,11,,,,,,
21/06/2023,,17,11,,,,,,
21/06/2023,,18,15,,,,,,
21/06/2023,,19,18,,,,,,
21/06/2023,,20,4,,,,,,
22/06/2023,,1,6,,,,Jonas,,
22/06/2023,,2,"5,5",,,,Jonas,,
22/06/2023,,3,6,,,,Jonas,,
22/06/2023,,4,8,,,,Jonas,,
22/06/2023,,5,"7,5",,,,Jonas,,
22/06/2023,,6,9,,,,Jonas,,
22/06/2023,,7,7,,,,Jonas,,
22/06/2023,,8,5,,,,Jonas,,
